Datetime,n_measurements,missing_minutes,missing_ratio,daily_total_active_energy_kwh,daily_mean_voltage,daily_mean_intensity,daily_sub1_wh,daily_sub2_wh,daily_sub3_wh,peak_hour_power_kw,nighttime_energy_kwh,day_of_week,month,season,is_weekend,is_workday,rolling_7d_mean_kwh
2006-12-17,1440,0,0.0,56.507666666666665,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,3.6971,12.693833333333334,6,12,winter,1,0,56.507666666666665
2006-12-18,1440,0,0.0,36.73043333333333,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,3.0505666666666666,2.5039000000000002,0,12,winter,0,1,46.61905
2006-12-19,1440,0,0.0,27.7699,241.9993125,4.926388888888889,839.0,7602.0,6197.0,3.879033333333333,2.4602,1,12,winter,0,1,40.336
2006-12-20,1440,0,0.0,37.095800000000004,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,3.646066666666667,2.3646000000000003,2,12,winter,0,1,39.52595
2006-12-21,1438,2,0.001388888888888889,28.610400000000002,241.04054937413073,5.033796940194716,1765.0,2623.0,10421.0,2.5758,5.048766666666666,3,12,winter,0,1,37.34284
2006-12-22,1440,0,0.0,39.0223,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,4.548666666666667,2.151533333333333,4,12,winter,0,1,37.62275
2006-12-23,1440,0,0.0,79.55643333333335,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,5.5624666666666664,11.014033333333334,5,12,winter,1,0,43.61327619047619
2006-12-24,1440,0,0.0,42.5002,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,4.0280000000000005,14.4215,6,12,winter,1,0,41.61220952380953
2006-12-25,1440,0,0.0,45.718666666666664,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,4.2148666666666665,4.433066666666666,0,12,winter,0,1,42.89624285714286
2006-12-26,1440,0,0.0,65.5685,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,4.0419,15.067133333333334,1,12,winter,0,1,48.296042857142865
2006-12-27,1440,0,0.0,25.479333333333333,243.76736111111111,4.5175,0.0,314.0,6976.0,2.3531,3.4106333333333336,2,12,winter,0,1,46.636547619047626
2006-12-28,1440,0,0.0,34.54396666666666,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,5.035333333333333,2.5107333333333335,3,12,winter,0,1,47.4842
2006-12-29,1440,0,0.0,52.90653333333333,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,4.313733333333333,12.865333333333332,4,12,winter,0,1,49.467661904761904
2006-12-30,1438,2,0.001388888888888889,46.48836666666667,240.54068845618914,8.292211404728791,3072.0,7891.0,12480.0,4.664793103448276,1.7739666666666667,5,12,winter,1,0,44.743652380952376
2006-12-31,1440,0,0.0,58.236599999999996,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,4.0845666666666665,5.221433333333334,6,12,winter,1,0,46.99170952380952
2007-01-01,1440,0,0.0,45.81673333333333,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,3.1461333333333332,15.15,0,1,winter,0,1,47.005719047619046
2007-01-02,1440,0,0.0,21.153933333333335,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,2.5735333333333332,3.5294666666666665,1,1,winter,0,1,40.660780952380954
2007-01-03,1440,0,0.0,16.9009,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,1.6686,3.914733333333333,2,1,winter,0,1,39.43529047619047
2007-01-04,1440,0,0.0,54.32353333333333,239.7502986111111,9.478194444444444,1051.0,7597.0,10896.0,4.066566666666667,15.7364,3,1,winter,0,1,42.26094285714286
2007-01-05,1440,0,0.0,45.22273333333333,240.49576388888892,7.885138888888889,1483.0,379.0,7602.0,2.9757000000000002,13.9697,4,1,winter,0,1,41.16325714285714
2007-01-06,1440,0,0.0,25.139633333333332,239.67305555555555,4.543888888888889,1336.0,402.0,5678.0,4.002933333333333,3.2115666666666667,5,1,winter,1,0,38.113438095238095
2007-01-07,1440,0,0.0,40.79366666666667,240.90248611111113,7.282638888888889,1987.0,8177.0,12810.0,5.211533333333334,2.4919333333333333,6,1,winter,1,0,35.62159047619048
2007-01-08,1440,0,0.0,37.356,239.5769513888889,6.551666666666667,0.0,467.0,17547.0,3.4250333333333334,7.9333,0,1,winter,0,1,34.41291428571429
2007-01-09,1440,0,0.0,31.1509,240.48752083333335,5.521111111111111,1688.0,4267.0,9790.0,3.292466666666667,2.2744333333333335,1,1,winter,0,1,35.84105238095238
2007-01-10,1440,0,0.0,35.913333333333334,241.02745138888892,6.357777777777779,771.0,4456.0,11012.0,3.970766666666667,2.3964,2,1,winter,0,1,38.557114285714285
2007-01-11,1440,0,0.0,37.58656666666666,241.1556875,6.658333333333333,1378.0,2170.0,12415.0,4.7842,2.3600333333333334,3,1,winter,0,1,36.16611904761904
2007-01-12,1440,0,0.0,24.354933333333335,241.53820833333336,4.309166666666666,0.0,439.0,8276.0,2.8325,2.6270000000000002,4,1,winter,0,1,33.18500476190476
2007-01-13,1440,0,0.0,53.113566666666664,239.28361111111113,9.453055555555554,7806.0,2975.0,11341.0,5.814266666666667,2.3130333333333337,5,1,winter,1,0,37.18128095238096
2007-01-14,1439,1,0.0006944444444444445,50.130266666666664,238.8218485059069,8.968311327310632,1777.0,4215.0,12975.0,4.211133333333334,12.586066666666666,6,1,winter,1,0,38.51508095238095
2007-01-15,1440,0,0.0,35.811299999999996,241.2409097222222,6.261527777777778,1099.0,2239.0,15163.0,2.9717333333333333,3.9865,0,1,winter,0,1,38.29440952380952
2007-01-16,1440,0,0.0,28.106733333333334,241.94475694444446,4.975972222222222,2063.0,644.0,6583.0,3.1261666666666668,2.4812,1,1,winter,0,1,37.85952857142858
2007-01-17,1440,0,0.0,47.46146666666667,241.00525,8.283888888888889,3500.0,5737.0,16064.0,4.085766666666666,2.2233666666666663,2,1,winter,0,1,39.5092619047619
2007-01-18,1440,0,0.0,30.3577,240.89359722222224,5.3425,0.0,336.0,13491.0,3.1334666666666666,3.6732333333333336,3,1,winter,0,1,38.47656666666666
2007-01-19,1440,0,0.0,24.674,240.16094444444445,4.37625,2103.0,330.0,7172.0,2.8391,1.8527333333333333,4,1,winter,0,1,38.52214761904762
2007-01-20,1440,0,0.0,52.22886666666667,238.8674722222222,9.348055555555556,4324.0,5222.0,11440.0,5.3430333333333335,7.113966666666667,5,1,winter,1,0,38.395761904761905
2007-01-21,1440,0,0.0,56.7877,238.96811805555558,10.190694444444444,10346.0,5567.0,11599.0,6.0765666666666664,8.018866666666666,6,1,winter,1,0,39.34682380952381
2007-01-22,1440,0,0.0,36.34156666666667,241.60313194444444,6.355277777777778,1054.0,2983.0,11361.0,4.455733333333333,1.7132333333333334,0,1,winter,0,1,39.42257619047619
2007-01-23,1440,0,0.0,29.627333333333336,242.76255555555556,5.260833333333333,0.0,1064.0,5061.0,3.6409666666666665,4.453833333333334,1,1,winter,0,1,39.63980476190476
2007-01-24,1440,0,0.0,49.79756666666666,241.45769444444446,8.733611111111111,3464.0,2480.0,11744.0,3.758166666666667,9.288033333333335,2,1,winter,0,1,39.97353333333334
2007-01-25,1440,0,0.0,26.605733333333333,243.42436111111112,4.629305555555556,1158.0,262.0,11239.0,3.0424333333333333,1.9927,3,1,winter,0,1,39.4375380952381
2007-01-26,1440,0,0.0,26.9662,242.77179166666667,4.721388888888889,1163.0,261.0,8238.0,2.6073999999999997,1.6775333333333333,4,1,winter,0,1,39.76499523809524
2007-01-27,1440,0,0.0,34.06786666666667,241.61656944444442,5.949861111111111,1170.0,3896.0,12374.0,3.241833333333333,2.0663666666666667,5,1,winter,1,0,37.170566666666666
2007-01-28,1439,1,0.0006944444444444445,51.503400000000006,240.30478804725504,9.133703961084086,3466.0,3997.0,12045.0,4.195833333333334,10.296966666666666,6,1,winter,1,0,36.41566666666667
2007-01-29,1440,0,0.0,33.0444,240.9295972222222,5.788888888888889,1123.0,294.0,15254.0,3.4203333333333332,2.5193000000000003,0,1,winter,0,1,35.94464285714286
2007-01-30,1440,0,0.0,28.4633,241.84087499999998,5.028194444444445,1123.0,1424.0,8149.0,3.2144666666666666,1.9324333333333332,1,1,winter,0,1,35.77835238095238
2007-01-31,1440,0,0.0,39.39586666666666,239.92113194444443,6.923611111111111,0.0,5950.0,15052.0,3.9598333333333335,2.6472333333333333,2,1,winter,0,1,34.29239523809524
2007-02-01,1440,0,0.0,30.412666666666667,240.3921388888889,5.3325000000000005,1170.0,386.0,13145.0,3.2973333333333334,2.160566666666667,3,2,winter,0,1,34.83624285714286
2007-02-02,1440,0,0.0,27.7956,240.3343888888889,4.870833333333334,0.0,356.0,11338.0,3.4555000000000002,2.2357333333333336,4,2,winter,0,1,34.95472857142857
2007-02-03,1440,0,0.0,67.16203333333334,238.91019444444444,11.815972222222221,4746.0,4573.0,17834.0,5.814666666666667,17.580733333333335,5,2,winter,1,0,39.68246666666666
2007-02-04,1440,0,0.0,59.93233333333333,239.63333333333333,10.565416666666668,3391.0,4597.0,14472.0,5.073333333333333,17.510133333333332,6,2,winter,1,0,40.886599999999994
2007-02-05,1440,0,0.0,27.421333333333333,240.81031249999998,4.820416666666667,896.0,2564.0,7849.0,3.4424333333333332,2.996366666666667,0,2,winter,0,1,40.083304761904756
2007-02-06,1440,0,0.0,21.224666666666668,241.26415972222225,3.7719444444444448,1185.0,405.0,4517.0,2.7790666666666666,2.3867666666666665,1,2,winter,0,1,39.049214285714285
2007-02-07,1440,0,0.0,38.8003,241.14969444444444,6.791666666666667,3299.0,3513.0,11986.0,3.7329,1.7929666666666668,2,2,winter,0,1,38.96413333333333
2007-02-08,1440,0,0.0,30.023566666666667,241.79730555555554,5.248333333333334,2226.0,366.0,10157.0,3.3625333333333334,2.2768,3,2,winter,0,1,38.90854761904762
2007-02-09,1440,0,0.0,27.003300000000003,241.74044444444445,4.727222222222222,0.0,3045.0,9770.0,3.8357666666666663,1.8133333333333332,4,2,winter,0,1,38.79536190476191
2007-02-10,1440,0,0.0,47.15546666666667,240.0368263888889,8.303749999999999,5071.0,2831.0,14405.0,4.7114666666666665,2.097166666666667,5,2,winter,1,0,35.93728095238095
2007-02-11,1440,0,0.0,59.52046666666667,239.5061458333333,10.526805555555557,2430.0,4765.0,13114.0,3.7912666666666666,13.0533,6,2,winter,1,0,35.87844285714286
2007-02-12,1440,0,0.0,31.293499999999998,240.09850000000003,5.503472222222222,2227.0,399.0,11517.0,3.605566666666667,3.184366666666667,0,2,winter,0,1,36.43160952380952
2007-02-13,1440,0,0.0,23.575766666666667,241.16685416666667,4.14375,0.0,2828.0,6256.0,3.5452999999999997,1.7447000000000001,1,2,winter,0,1,36.76748095238095
2007-02-14,1440,0,0.0,41.644533333333335,240.3753888888889,7.315138888888888,3295.0,3793.0,11579.0,4.364133333333333,1.8175,2,2,winter,0,1,37.17379999999999
2007-02-15,1440,0,0.0,33.0891,240.66922222222223,5.820277777777778,0.0,2363.0,14028.0,4.1108,2.8638,3,2,winter,0,1,37.61173333333334
2007-02-16,1440,0,0.0,28.375466666666668,240.82094444444442,5.0465277777777775,1148.0,859.0,8689.0,3.3264666666666667,4.492366666666667,4,2,winter,0,1,37.80775714285714
2007-02-17,1440,0,0.0,34.615199999999994,239.31603472222224,6.129166666666666,1765.0,2226.0,7157.0,3.9352333333333336,4.037533333333333,5,2,winter,1,0,36.01629047619048
